	Data	List of sets
34387	баллон возд газ	{'10.05'}
34388	балон пневм подв	{'10.05'}
34389	бампер	{'10.09', '10.02', '10.01', '10.05'}
34390	бампер боковина	{'10.05'}
34391	бампер задний	{'10.02', '10.01', '10.05'}
34392	бампер задний ласети	{'10.05'}
34393	бампер лиаз задний отверстием	{'10.01', '10.05'}
34394	бампер лиаз передний	{'10.01', '10.05'}
34395	бампер лиаз передний	{'10.01', '10.05'}
34396	бампер	{'10.09', '10.02', '10.01', '10.05'}
34397	бампер передний	{'10.02', '10.05'}
34398	бампер передний	{'10.02', '10.05'}
34399	бампер передний средний	{'10.05'}
34400	барабан задн тормозов	{'10.05'}
34401	барабан маз тормозной задний	{'10.05'}
34402	барабан торм зад	{'10.02', '10.01', '10.05'}
34403	барабан торм зад	{'10.02', '10.01', '10.05'}
34404	барабан торм задн маз	{'10.01', '10.05'}
34405	барабан тормозн	{'10.02', '10.01', '10.05'}
34406	барабан тормозной	{'10.02', '10.01', '10.05'}
34407	барабан тормозной	{'10.02', '10.01', '10.05'}
34408	барабан тормозной	{'10.02', '10.01', '10.05'}
34409	барабан тормозной	{'10.02', '10.01', '10.05'}
34410	барабан тормозной	{'10.02', '10.01', '10.05'}
34411	барабан тормозной scania	{'10.05'}
34412	барабан тормозной	{'10.02', '10.01', '10.05'}
34413	барабан тормозной	{'10.02', '10.01', '10.05'}
34414	барабан тормозной	{'10.02', '10.01', '10.05'}
34415	барабан тормозной голаз скания	{'10.01', '10.05'}
34416	барабан тормозной голаз скания	{'10.01', '10.05'}
34417	барабан тормозной газ	{'10.05'}
34418	барабан тормозной евро отв задний	{'10.05'}
34419	барабан тормозной зад	{'10.02', '10.05'}
34420	барабан тормозной задний	{'10.05'}
34421	барабан тормозной задний	{'10.05'}
34422	барабан тормозной задний	{'10.05'}
34423	барабан тормозной задний соболь	{'10.05'}
34424	барабан тормозной лиаз задний	{'10.01', '10.05'}
34425	барабан тормозной лиаз передний	{'10.05'}
34426	барабан тормозной маз отв передний	{'10.05'}
34427	барабан тормозной маз задний	{'10.02', '10.01', '10.05'}
34428	барабан тормозной маз передний	{'10.02', '10.01', '10.05'}
34429	барабан тормозной передний	{'10.05'}
34430	барабан тормозной передний	{'10.05'}
34431	барабан тормозной соболь	{'10.05'}
34432	барабан тормозной мост лиаз	{'10.05'}
34433	барабан тормозной ютонг	{'10.05'}
34434	батарейка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34435	батарейка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34436	батарейка	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34437	батарейка mah varta	{'10.05'}
34438	батарея аккумуляторная тнж вмп	{'10.05'}
34439	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
34440	батарея аккумуляторная mutlu	{'10.05'}
34441	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
34442	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
34443	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
34444	батарея аккумуляторная vaiper ctз	{'10.05'}
34445	батарея аккумуляторная vaiper ctз	{'10.05'}
34446	батарея аккумуляторная	{'10.02', '10.06', '10.01', '10.05'}
34447	бачёк омывателя литр мотором	{'10.05'}
34448	бачок гур	{'10.02', '10.05'}
34449	бачок насоса гур	{'10.02', '10.01', '10.05'}
34450	бачок омыв газель	{'10.05'}
34451	бачок омывателя	{'10.02', '10.01', '10.05'}
34452	бачок омывателя соболь	{'10.05'}
34453	бачок омывателя голый	{'10.05'}
34454	бачок омывателя	{'10.02', '10.01', '10.05'}
34455	бачок омывателя	{'10.02', '10.01', '10.05'}
34456	бачок омывателя сборе	{'10.05'}
34457	бачок омывателя камаз	{'10.05'}
34458	бачок омывателя соболь	{'10.05'}
34459	бачок расш chevrolet	{'10.05'}
34460	бачок расшир	{'10.02', '10.01', '10.05'}
34461	бачок расширительный	{'10.02', '10.01', '10.05'}
34462	бачок расширительный	{'10.02', '10.01', '10.05'}
34463	бачок расширительный камаз	{'10.05'}
34464	бачок расширительный ласети	{'10.05'}
34465	бачок расширительный лиаз	{'10.01', '10.05'}
34466	бачок расширительный охлаждающей жидкости	{'10.01', '10.05'}
34467	бачок фос насос датч	{'10.05'}
34468	бачок стеклоомыв fiat ducato	{'10.05'}
34469	бачок цилиндра сцепления	{'10.05'}
34470	башмак натяжителя цепи	{'10.05'}
34471	бендикс привод стартера батэ	{'10.05'}
34472	бендикс стартера deutz волж маз	{'10.05'}
34473	бендикс стартера волжанин	{'10.01', '10.05'}
34474	бендикс стартера волжанин зуб	{'10.01', '10.05'}
34475	бендикс стартера механизмом свободного хода лиаз	{'10.01', '10.05'}
34476	бензонасос	{'10.01', '10.05'}
34477	бензонасос пекар уаз	{'10.05'}
34478	бензонасос	{'10.01', '10.05'}
34479	бензонасос рено	{'10.05'}
34480	бензонасос_	{'10.05'}
34481	бесконтактная карта пласт	{'10.01', '10.05'}
34482	бесконтактная смарт карта бск	{'10.06', '10.05'}
34483	блок абс фиат дукато	{'10.05'}
34484	блок гмп сборе дива	{'10.05'}
34485	блок двигателя	{'10.02', '10.01', '10.05'}
34486	блок задних фонарей лев	{'10.05'}
34487	блок задних фонарей прав	{'10.05'}
34488	блок переключат fiat ducato	{'10.01', '10.05'}
34489	блок питания openstage	{'10.09', '10.05'}
34490	блок поршневой	{'10.01', '10.05'}
34491	блок предохранителей	{'10.02', '10.01', '10.05'}
34492	блок предохранителей	{'10.02', '10.01', '10.05'}
34493	блок предохранителей бск маз	{'10.05'}
34494	блок предохронителей	{'10.05'}
34495	блок проявки сборе kyocera	{'10.05'}
34496	блок регулировки скорости вентилятора отопителя	{'10.05'}
34497	блок резисторов тормозных	{'10.05'}
34498	блок системный апб мгт сборе	{'10.05'}
34499	блок сцепления наж зил	{'10.05'}
34500	блок управл свечей накал	{'10.05'}
34501	блок управл пжд	{'10.05'}
34502	блок управл свеч накаливания	{'10.05'}
34503	блок управлен свечей накаливания	{'10.05'}
34504	блок управления микас газель	{'10.05'}
34505	блок управления	{'10.08', '10.02', '10.01', '10.05'}
34506	блок управления газ	{'10.05'}
34507	блок управления двигателем	{'10.01', '10.05'}
34508	блок управления двигателем газ	{'10.05'}
34509	блок управления двигателя	{'10.05'}
34510	блок управления камаз	{'10.05'}
34511	блок управления климатическ установкой	{'10.05'}
34512	блок управления кондиц	{'10.02', '10.05'}
34513	блок управления отопит	{'10.02', '10.01', '10.05'}
34514	блок управления отопителем	{'10.02', '10.01', '10.05'}
34515	блок управления отопителем	{'10.02', '10.01', '10.05'}
34516	блок управления отопителем	{'10.02', '10.01', '10.05'}
34517	блок управления отопителем	{'10.02', '10.01', '10.05'}
34518	блок управления отопителем бизнес	{'10.05'}
34519	блок управления отопителем лиаз	{'10.02', '10.01', '10.05'}
34520	блок управления отопителем лиаз	{'10.02', '10.01', '10.05'}
34521	блок управления отопителем лиаз	{'10.02', '10.01', '10.05'}
34522	блок цилиндра ямз	{'10.05'}
34523	блок цилиндров	{'10.02', '10.01', '10.05'}
34524	блок цилиндров	{'10.02', '10.01', '10.05'}
34525	блок цилиндров ямз	{'10.05'}
34526	блок фара лев ютонг	{'10.05'}
34527	блок фара прав	{'10.05'}
34528	блок фара передн лев	{'10.05'}
34529	блок фара передняя прав	{'10.05'}
34530	боковина бампера	{'10.05'}
34531	боковина бампера заднего правая	{'10.05'}
34532	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34533	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34534	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34535	болт гбц	{'10.02', '10.05'}
34536	болт фланцевый голаз	{'10.02', '10.01', '10.05'}
34537	болт лег	{'10.05'}
34538	болт фланцевый голаз	{'10.02', '10.01', '10.05'}
34539	болт лиаз	{'10.01', '10.05'}
34540	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34541	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34542	болт евро	{'10.02', '10.05'}
34543	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34544	болт бугеля вала распределительного	{'10.05'}
34545	болт гбц	{'10.02', '10.05'}
34546	болт гбц	{'10.02', '10.05'}
34547	болт гмп diwa лиаз	{'10.05'}
34548	болт гол блока ldohc	{'10.05'}
34549	болт головки блока ford	{'10.05'}
34550	болт гайка задн колеса	{'10.05'}
34551	болт кардана лиаз	{'10.01', '10.05'}
34552	болт кардана гайкой маз	{'10.01', '10.05'}
34553	болт кардана гайкой маз	{'10.01', '10.05'}
34554	болт карданного вала	{'10.05'}
34555	болт карданного вала камаз маз	{'10.05'}
34556	болт карданного вала	{'10.05'}
34557	болт колеса евро	{'10.05'}
34558	болт колеса задн камаз	{'10.05'}
34559	болт колеса гайкой	{'10.05'}
34560	болт крепежный	{'10.01', '10.05'}
34561	болт крепления гбц	{'10.05'}
34562	болт крепления колеса	{'10.01', '10.05'}
34563	болт крепления колеса	{'10.01', '10.05'}
34564	болт крепления полуоси газель	{'10.05'}
34565	болт крепления суппорта маз	{'10.02', '10.01', '10.05'}
34566	болт крепления форсунки	{'10.02', '10.01', '10.05'}
34567	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34568	болт пер ресс	{'10.05'}
34569	болт системы выпуска газов	{'10.05'}
34570	болт вала кардан	{'10.05'}
34571	болт вала кард	{'10.05'}
34572	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34573	болт	{'10.01', '10.05', '10.02', '10.09', '10.06', '10.08'}
34574	болт вала карданного	{'10.05'}
34575	болт вала кард задн	{'10.05'}
34576	болт вала кардан гайкой	{'10.05'}
34577	болт маховика	{'10.02', '10.05'}
34578	болт подвески задней маз	{'10.05'}
34579	болт распред вала форд	{'10.05'}
34580	болт слива масла заглушка	{'10.05'}
34581	болт сошки гур зил	{'10.05'}
34582	болт ступицы	{'10.02', '10.05'}
34583	болт суппорта звезд вала	{'10.05'}
34584	болт суппорта лиаз	{'10.05'}
34585	болт суппорта нижний	{'10.05'}
34586	болт суппорта тормозного лиаз	{'10.02', '10.01', '10.05'}
